name,slug,description,logo_filename,featured
Sana Safinaz,sana-safinaz,"Contemporary Pakistani couture known for lawn, luxury pret and bridal collections.",sana-safinaz.png,true
Maria B,maria-b,"House of Maria B — lawn, formals and bridal wear rooted in modern eastern silhouettes.",maria-b.png,true
Gul Ahmed,gul-ahmed,"Heritage Pakistani textile house offering lawn, unstitched and ready-to-wear.",gul-ahmed.png,true
Khaadi,khaadi,"Handwoven fabrics and everyday eastern-western fusion wear.",khaadi.png,true
Sapphire,sapphire,"Modern minimalist Pakistani ready-to-wear and unstitched lawn.",sapphire.png,true
Zara Shahjahan,zara-shahjahan,"Signature florals and vintage-inspired luxury lawn and formals.",zara-shahjahan.png,true
Elan,elan,"Luxury bridal and formal couture with intricate hand embellishment.",elan.png,true
Sania Maskatiya,sania-maskatiya,"Contemporary silhouettes with rich prints and refined tailoring.",sania-maskatiya.png,false
Nishat Linen,nishat-linen,"Everyday and festive unstitched and pret from Nishat Mills.",nishat-linen.png,false
Asim Jofa,asim-jofa,"Luxury lawn, chiffon and formal couture with fine embroidery.",asim-jofa.png,true
Faiza Saqlain,faiza-saqlain,"Modern bridal and luxury formals with signature pastels.",faiza-saqlain.png,false
Mushq,mushq,"Contemporary luxury pret and unstitched with romantic prints.",mushq.png,false
Bareeze,bareeze,"Timeless embroidered unstitched and pret from the House of Bareeze.",bareeze.png,false
Generation,generation,"Culturally rooted Pakistani pret with playful modern prints.",generation.png,false
Cross Stitch,cross-stitch,"Everyday and festive unstitched lawn and pret at accessible pricing.",cross-stitch.png,false
