category_slug,category_name,short_description,long_description,meta_title,meta_description
new-arrivals,New Arrivals,"The latest pieces across every house.","Freshly added lawn, pret, formals and accessories from Pakistan's leading ateliers. Updated weekly at Elite Brands.","New Arrivals — Latest Pakistani Designer Wear | Elite Brands","Shop the latest arrivals across Pakistani designer lawn, pret and formals. Updated weekly. Free delivery across Pakistan."
printed-lawn,Printed Lawn,"Lightweight printed lawn suits for everyday wear.","Everyday printed lawn from trusted houses — soft cotton lawn, breathable weaves and season-friendly prints.","Printed Lawn Suits — Pakistani Designer Lawn | Elite Brands","Shop printed lawn suits from Sana Safinaz, Gul Ahmed, Khaadi and more. Free delivery across Pakistan."
luxury-lawn,Luxury Lawn,"Premium embroidered lawn with fine detailing.","Luxury lawn edits featuring hand embroidery, chikankari, cotton net dupattas and statement dailywear from Pakistan's top designers.","Luxury Lawn — Embroidered Designer Lawn | Elite Brands","Shop luxury embroidered lawn from Pakistan's leading houses at Elite Brands. Free delivery nationwide."
unstitched,Unstitched,"Unstitched fabric suits — 2, 3 and 4 piece.","Unstitched suits in seasonal fabrics — lawn, cotton, chiffon and karandi. Two, three and four piece options.","Unstitched Suits — 2, 3 & 4 Piece | Elite Brands","Shop unstitched Pakistani designer suits in lawn, chiffon and karandi. Two to four piece options. Free delivery."
pret,Pret,"Ready-to-wear eastern silhouettes.","Ready-to-wear kurtas, tunics and coordinated sets from Pakistan's most loved houses.","Pret — Ready-to-Wear Pakistani Designer Kurtas | Elite Brands","Shop ready-to-wear Pakistani designer kurtas and coordinated sets. Free delivery across Pakistan."
luxury-pret,Luxury Pret,"Premium ready-to-wear formals and occasion wear.","Occasion-ready luxury pret with fine embroidery, chiffon and organza detailing. For weddings, Eid and formal events.","Luxury Pret — Designer Formal Wear | Elite Brands","Shop luxury pret and designer formal wear from Pakistan's leading houses. Free delivery nationwide."
festive,Festive,"Eid, wedding season and celebration edits.","Festive collections curated for Eid and the wedding season — embroidered, embellished and event-ready.","Festive Edit — Eid & Wedding Wear | Elite Brands","Shop festive Pakistani designer wear for Eid and the wedding season. Free delivery across Pakistan."
formals,Formals,"Formal and semi-formal ensembles.","Formal and semi-formal ensembles from Pakistan's leading designers for evening and occasion wear.","Formals — Designer Formal Wear | Elite Brands","Shop Pakistani designer formal and semi-formal wear at Elite Brands. Free delivery nationwide."
bridal,Bridal,"Bridal couture and heavy formals.","Bridal couture — heavy hand embellishment, French knots, pearl and zardozi work from Pakistan's most sought after ateliers.","Bridal Couture — Pakistani Designer Bridal | Elite Brands","Shop Pakistani designer bridal couture and heavy formals. Free delivery nationwide."
winter,Winter,"Khaddar, linen, karandi and wool suits.","Winter edits in khaddar, linen, karandi and wool from Pakistan's leading houses.","Winter Collection — Khaddar & Karandi | Elite Brands","Shop winter Pakistani designer wear in khaddar, karandi and wool. Free delivery nationwide."
accessories,Accessories,"Dupattas, stoles, clutches and jewellery.","Dupattas, stoles, clutches and jewellery to complete the look.","Accessories — Dupattas, Stoles & Clutches | Elite Brands","Shop dupattas, stoles, clutches and jewellery at Elite Brands. Free delivery nationwide."
sale,Sale,"Reduced price pieces across categories.","Curated markdowns across lawn, pret, formals and accessories. Limited stock, no restocks.","Sale — Pakistani Designer Wear on Sale | Elite Brands","Shop Pakistani designer wear on sale at Elite Brands. Limited stock. Free delivery nationwide."
