brand_slug,brand_name,short_description,long_description
sana-safinaz,Sana Safinaz,"Contemporary Pakistani couture — luxury lawn, pret and bridal.","Founded in Karachi, Sana Safinaz is known for signature prints, chikankari and cotton net dupattas. Elite Brands stocks the seasonal lawn, luxury pret and formal collections."
maria-b,Maria B,"House of Maria B — lawn, formals and bridal wear.","Maria B blends modern silhouettes with rooted eastern craft. Expect hand-embroidered lawn, ready-to-wear kurtas and occasion formals."
gul-ahmed,Gul Ahmed,"Heritage Pakistani textile house — lawn, unstitched and pret.","One of Pakistan's oldest textile houses, Gul Ahmed is trusted for consistent fabric quality across everyday unstitched and festive collections."
khaadi,Khaadi,"Handwoven fabrics and eastern-western fusion wear.","Khaadi's identity is handloom. The collection ranges from everyday pret to statement embroidered pieces in signature earth tones."
sapphire,Sapphire,"Modern minimalist Pakistani ready-to-wear and lawn.","Sapphire pairs clean tailoring with restrained prints. Ideal for the customer who wants understated eastern wear."
zara-shahjahan,Zara Shahjahan,"Signature florals and vintage-inspired luxury lawn.","Zara Shahjahan is known for romantic florals, block prints and painterly embroidery across luxury lawn and formal edits."
elan,Elan,"Luxury bridal and formal couture.","Elan specialises in intricate hand embellishment, French knots and pearl work — reserved for bridal and formal occasions."
sania-maskatiya,Sania Maskatiya,"Contemporary silhouettes with refined tailoring.","Sania Maskatiya blends print, embroidery and modern cuts for a distinctly editorial eastern wardrobe."
nishat-linen,Nishat Linen,"Everyday and festive unstitched and pret.","From the Nishat Mills group, Nishat Linen offers dependable seasonal collections at accessible price points."
asim-jofa,Asim Jofa,"Luxury lawn, chiffon and formal couture.","Asim Jofa is recognised for fine embroidery on chiffon and organza, alongside a signature luxury lawn line."
faiza-saqlain,Faiza Saqlain,"Modern bridal and luxury formals in signature pastels.","Faiza Saqlain's atelier focuses on soft palettes, delicate embellishment and contemporary bridal silhouettes."
mushq,Mushq,"Contemporary luxury pret and unstitched.","Mushq brings romantic prints and modern eastern cuts to both unstitched and ready-to-wear."
bareeze,Bareeze,"Timeless embroidered unstitched and pret.","Bareeze is a legacy house known for classic embroidered fabric suits, dupattas and modest silhouettes."
generation,Generation,"Culturally rooted Pakistani pret with playful prints.","Generation champions Pakistani craft and heritage through modern, print-driven ready-to-wear."
cross-stitch,Cross Stitch,"Accessible unstitched lawn and pret for every day.","Cross Stitch offers everyday and festive unstitched and pret with a strong price-to-quality balance."
